File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell104basal.abf,8,Non-burst,Non-burst,0.8279000000000014,0,0.0,-61.088696,6.0880795,-66.391,34.806,2.7953591,23.63277,-50.5842,17.149406,6084.993,-114765.51,323980.0,19.734352,1120.8099
cell104basal.abf,8,Non-burst,Non-burst,1.7012000000000018,0,0.0,-62.29039,3.675179,-67.705,36.401,4.927868,91.93087,-105.97768,6.9850693,4917.0015,-125400.99,320860.0,18.699715,1350.9929
cell104basal.abf,8,Non-burst,Non-burst,2.7150999999999996,0,0.0,-63.336384,3.1944451,-67.048,36.901,6.1020384,111.741844,-171.9739,5.4134307,4332.741,-117275.99,352760.03,21.41522,1836.892
cell104basal.abf,8,Non-burst,Non-burst,0.9576999999999991,0,0.0,-60.432735,4.2923923,-66.078,32.617,4.9852796,77.76587,-57.879246,9.27422,5809.8223,-118209.0,263000.03,17.020088,930.71674
cell104basal.abf,8,Non-burst,Non-burst,0.4125000000000014,0,0.0,-55.576626,3.5300057,-61.638,21.797,8.531751,163.34178,-22.928944,-201.28,5057.4976,-115083.0,9379.997,-11.4116955,229.11317
cell104basal.abf,9,Non-burst,Non-burst,0.3088,0,0.0,-63.283455,4.0966697,-66.673,36.901,8.812322,169.89189,-19.546818,332.36728,8471.375,-8759.995,330550.0,26.431326,896.63153
cell104basal.abf,9,Burst,Other,1.3860000000000001,31,0.04107,-47.073803,8.360511,-56.884,36.901,5.43859,36.01803,-65.25217,-7.6940794,17556.982,-161055.0,250170.02,1.4188285,46.99705
cell104basal.abf,9,Burst,Other,0.3759999999999999,12,0.025745454545454547,-45.1942,9.614151,-57.135,35.807,4.788333,26.026505,-17.000515,-32.021244,21003.977,-154169.2,256740.0,0.9607725,31.496605
cell104basal.abf,9,Burst,Other,0.36540000000000017,10,0.028588888888888886,-45.824913,9.197997,-55.696,34.243,5.1892257,30.896461,-16.75196,-25.588413,20700.309,-146040.0,263630.0,1.413951,37.617977
cell104basal.abf,9,Burst,Other,0.15500000000000114,9,0.0149375,-41.963974,12.342393,-56.572,36.776,3.6031778,13.82292,-6.51148,-104.50972,29085.773,-159799.0,268001.0,0.64052397,16.682293
cell104basal.abf,9,Burst,Other,0.11849999999999916,4,0.014433333333333333,-44.955345,11.092607,-56.478,34.337,4.6916127,24.138376,-5.3347044,-73.09715,26771.205,-147602.02,266440.03,1.5142331,28.451927
cell104basal.abf,9,Burst,Other,0.3055000000000003,8,0.024385714285714285,-45.888702,9.18817,-56.071,32.867,5.366642,32.697144,-14.026512,-23.646502,20656.6,-143540.0,235798.22,1.3400184,37.228874
cell104basal.abf,9,Burst,Other,0.7126000000000019,22,0.03171904761904762,-45.715317,9.499614,-56.728,37.714,4.8775816,27.718777,-32.58434,-20.756386,21062.953,-164496.0,263630.0,1.1470624,34.616264
cell104basal.abf,9,Non-burst,Non-burst,1.4385000000000001,0,0.0,-61.88759,3.753677,-65.922,35.807,5.7598014,105.21218,-89.034584,6.6527634,5202.3296,-125089.0,345560.0,20.927782,1557.7626
cell104basal.abf,9,Non-burst,Non-burst,1.9205,0,0.0,-61.810028,3.2843273,-64.89,34.243,7.4152694,150.59187,-118.71523,5.4548326,4686.9717,-119773.01,297710.0,19.066402,1346.1116
cell104basal.abf,9,Non-burst,Non-burst,2.740899999999999,0,0.0,-62.594677,2.7165997,-65.891,24.893,6.6773257,141.30289,-171.56786,-2.8068447,4152.055,-126968.01,329610.0,17.422768,1643.9958
cell104basal.abf,9,Non-burst,Non-burst,1.9382000000000001,0,0.0,-60.241596,4.313613,-64.765,34.337,2.7412958,30.43066,-116.769035,7.0993705,4699.139,-113518.0,308658.03,20.387476,1417.9944
cell104basal.abf,9,Non-burst,Non-burst,0.6553000000000004,0,0.0,-60.757713,4.9792223,-65.297,32.867,4.9148083,64.35775,-39.823532,10.975098,6696.411,-129471.0,262060.02,15.105003,738.6584
cell104basal.abf,9,Non-burst,Non-burst,7.688499999999998,0,0.0,-62.57606,3.1362197,-65.828,27.895,3.5879133,39.635094,-481.11865,0.29291043,3569.0767,-122273.0,376832.03,15.624662,1791.7477
cell104basal.abf,9,Non-burst,Non-burst,1.3902,3,0.028000000000000025,-57.675888,4.493797,-62.294,34.869,8.422034,130.4755,-80.184845,-60.91641,7921.079,-146357.0,283330.0,7.567282,457.8327
cell104basal.abf,10,Non-burst,Non-burst,8.1454,0,0.0,-63.434124,1.4436307,-66.016,37.026,11.106565,601.8283,-516.70135,12.170428,3418.4385,-11570.054,350871.03,17.838432,1628.2881
cell104basal.abf,10,Burst,Other,1.0197000000000003,27,0.03496153846153846,-46.49265,8.741424,-56.196,37.026,5.5080123,34.85323,-47.416397,-9.936262,19742.15,-174190.98,243610.0,1.2793281,40.13892
cell104basal.abf,10,Non-burst,Non-burst,12.3348,0,0.0,-63.19541,1.7408415,-66.016,26.894,7.2166944,201.51198,-779.50726,-7.2687044,3136.5588,-125090.0,11250.0,-2.0104127,71.98535
cell104basal.abf,11,Non-burst,Non-burst,7.4501,0,0.0,-63.516575,1.2912995,-65.922,38.528,16.760199,1036.9244,-473.21002,13.512033,3497.5327,-10630.036,374019.97,20.396845,1963.6304
cell104basal.abf,11,Burst,Other,1.7001999999999997,38,0.044648648648648655,-47.70239,8.738194,-59.324,38.528,5.0272913,33.519897,-81.111626,-6.9897513,18609.406,-171682.98,265500.0,1.60227,49.868336
cell104basal.abf,11,Burst,Other,1.3129000000000008,32,0.039251612903225805,-46.88443,8.549247,-56.697,38.309,5.599627,36.85321,-61.562523,-8.599275,19098.36,-171060.02,286769.0,1.4516553,45.61596
cell104basal.abf,11,Burst,Other,0.4339000000000013,14,0.028492307692307692,-45.370033,9.69232,-56.29,37.683,4.9834943,28.102068,-19.693758,-27.748314,22437.307,-166056.0,268008.0,1.1673964,32.68746
cell104basal.abf,11,Non-burst,Non-burst,6.458500000000001,0,0.0,-62.296036,2.7089236,-67.204,38.309,4.3672214,99.41303,-402.34842,1.806146,3699.4338,-128529.0,373387.0,16.79204,1842.1456
cell104basal.abf,11,Non-burst,Non-burst,2.446999999999999,0,0.0,-60.825462,3.2748916,-65.453,37.683,5.0234838,108.043976,-148.84921,4.357987,4507.3003,-131339.02,332110.0,18.329933,1516.4799
cell104basal.abf,11,Non-burst,Non-burst,1.6972999999999985,0,0.0,-61.38865,2.8077116,-64.515,25.643,7.286453,157.31169,-104.19919,-52.731396,3628.434,-129155.51,12200.013,-9.232483,279.79803
cell105basal.abf,0,Non-burst,Non-burst,21.4999,0,0.0,-68.11202,0.98505026,-71.176,-64.609,0.010811381,-0.5334661,-1464.4014,-0.103254,2458.3667,-12509.995,15319.978,0.356048,-0.14775062
cell105basal.abf,1,Non-burst,Non-burst,2.3455,0,0.0,-69.56113,1.5752001,-71.176,44.845,29.600578,1681.656,-163.16136,48.70518,4360.1787,-8439.941,474090.03,64.91478,6545.999
cell105basal.abf,1,Burst,Other,0.028900000000000148,5,0.004425,-42.887318,21.899767,-63.545,44.845,2.4580722,5.925557,-1.2480087,-143.94464,99006.266,-281140.0,540080.0,1.4942019,9.896279
cell105basal.abf,1,Burst,Other,0.03520000000000012,5,0.005124999999999999,-43.787727,20.246552,-63.17,46.127,2.7355623,7.766383,-1.5499457,-212.32901,89599.29,-287393.0,518180.03,1.7877318,13.292067
cell105basal.abf,1,Burst,Other,0.032399999999999984,5,0.0049499999999999995,-43.03533,21.086845,-62.357,47.065,2.6091528,6.8732862,-1.4029874,-226.82118,92548.555,-290834.0,550700.0,1.6586227,11.656597
cell105basal.abf,1,Burst,Other,0.054400000000000226,6,0.0056,-44.93982,17.367207,-63.326,44.344,3.1577644,11.182798,-2.4466884,-910.52277,73197.01,-280203.03,525070.0,1.561964,16.92176
cell105basal.abf,1,Burst,Other,0.045099999999999696,6,0.0051400000000000005,-43.549553,19.774048,-62.795,43.469,2.7943306,8.103115,-1.9725974,-83.902435,82839.016,-260811.02,493480.0,1.77414,14.272755
cell105basal.abf,1,Burst,Other,0.04420000000000002,6,0.005019999999999999,-43.272366,19.453064,-62.388,43.375,2.7398186,7.8918924,-1.9210875,-97.64692,81571.66,-267071.0,491600.0,1.5490748,12.284579
cell105basal.abf,1,Burst,Other,0.04940000000000033,6,0.00522,-43.64168,18.592194,-63.264,46.002,2.918361,9.12868,-2.1645103,-143.0768,76062.16,-267370.0,491290.0,1.552596,13.390583
cell105basal.abf,1,Burst,Other,0.030300000000000438,5,0.004575000000000001,-42.289448,21.707426,-62.169,45.22,2.402374,5.524724,-1.2898288,-193.00371,90531.414,-277077.03,484100.0,1.5263373,10.060826
cell105basal.abf,1,Burst,Other,0.04470000000000063,6,0.00504,-43.197456,19.523958,-62.764,44.063,2.7499433,7.896557,-1.9394054,-110.53719,81374.07,-275512.03,474090.03,1.8875196,14.512571
cell105basal.abf,1,Burst,Other,0.03810000000000002,5,0.005325,-43.328487,19.243683,-62.232,43.437,2.7117364,7.7391376,-1.6534579,-895.3681,79220.2,-263936.0,475660.03,1.8562641,15.259296
cell105basal.abf,1,Burst,Other,0.03880000000000017,6,0.00468,-42.37482,20.626776,-62.107,45.876,2.5397067,6.4280577,-1.6526132,-182.93814,85330.75,-263940.03,460330.03,1.7141438,11.860696
