Burst_Number,Type,Node1_ID,Node2_ID
2,Parabolic,12,71
2,Parabolic,12,73
2,Parabolic,12,77
2,Parabolic,13,14
2,Parabolic,13,15
2,Parabolic,13,16
2,Parabolic,13,17
2,Parabolic,13,18
2,Parabolic,13,19
2,Parabolic,13,64
2,Parabolic,13,70
2,Parabolic,13,71
2,Parabolic,13,73
2,Parabolic,13,77
2,Parabolic,14,15
2,Parabolic,14,16
2,Parabolic,14,18
2,Parabolic,14,77
2,Parabolic,15,16
2,Parabolic,15,18
2,Parabolic,15,77
2,Parabolic,16,17
2,Parabolic,16,18
2,Parabolic,16,77
2,Parabolic,17,18
2,Parabolic,18,19
2,Parabolic,18,71
2,Parabolic,18,73
2,Parabolic,18,77
2,Parabolic,19,20
2,Parabolic,19,21
2,Parabolic,19,22
2,Parabolic,19,23
2,Parabolic,19,26
2,Parabolic,19,32
2,Parabolic,19,40
2,Parabolic,19,48
2,Parabolic,19,51
2,Parabolic,19,53
2,Parabolic,19,55
2,Parabolic,19,58
2,Parabolic,19,64
2,Parabolic,19,70
2,Parabolic,19,71
2,Parabolic,19,73
2,Parabolic,19,77
2,Parabolic,20,21
2,Parabolic,20,22
2,Parabolic,20,71
2,Parabolic,20,73
2,Parabolic,20,77
2,Parabolic,21,22
2,Parabolic,22,23
2,Parabolic,22,26
2,Parabolic,22,32
2,Parabolic,22,40
2,Parabolic,22,53
2,Parabolic,22,55
2,Parabolic,22,58
2,Parabolic,22,64
2,Parabolic,22,70
2,Parabolic,22,71
2,Parabolic,22,73
2,Parabolic,22,77
2,Parabolic,23,24
2,Parabolic,23,25
2,Parabolic,23,26
2,Parabolic,23,32
2,Parabolic,23,40
2,Parabolic,23,53
2,Parabolic,23,55
2,Parabolic,23,58
2,Parabolic,23,64
2,Parabolic,23,70
2,Parabolic,23,71
2,Parabolic,23,73
2,Parabolic,23,77
2,Parabolic,24,25
2,Parabolic,24,26
2,Parabolic,24,70
2,Parabolic,24,71
2,Parabolic,24,73
2,Parabolic,24,77
2,Parabolic,25,26
2,Parabolic,25,77
2,Parabolic,26,27
2,Parabolic,26,28
2,Parabolic,26,29
2,Parabolic,26,32
2,Parabolic,26,40
2,Parabolic,26,53
2,Parabolic,26,55
2,Parabolic,26,58
2,Parabolic,26,64
2,Parabolic,26,70
2,Parabolic,26,71
2,Parabolic,26,73
2,Parabolic,26,77
2,Parabolic,27,28
2,Parabolic,28,29
2,Parabolic,28,32
2,Parabolic,28,58
2,Parabolic,28,64
2,Parabolic,28,70
2,Parabolic,28,71
2,Parabolic,28,73
2,Parabolic,28,77
2,Parabolic,29,30
2,Parabolic,29,32
2,Parabolic,29,64
2,Parabolic,29,70
2,Parabolic,29,71
2,Parabolic,29,73
2,Parabolic,29,77
2,Parabolic,30,31
2,Parabolic,30,32
2,Parabolic,30,77
2,Parabolic,31,32
2,Parabolic,32,33
2,Parabolic,32,35
2,Parabolic,32,36
2,Parabolic,32,37
2,Parabolic,32,38
2,Parabolic,32,40
2,Parabolic,32,53
2,Parabolic,32,55
2,Parabolic,32,58
2,Parabolic,32,64
2,Parabolic,32,70
2,Parabolic,32,71
2,Parabolic,32,73
2,Parabolic,32,77
2,Parabolic,33,34
2,Parabolic,33,35
2,Parabolic,33,36
2,Parabolic,33,37
2,Parabolic,33,38
2,Parabolic,33,40
2,Parabolic,33,58
2,Parabolic,33,64
2,Parabolic,33,70
2,Parabolic,33,71
2,Parabolic,33,73
2,Parabolic,33,77
2,Parabolic,34,35
2,Parabolic,34,77
2,Parabolic,35,36
2,Parabolic,35,37
2,Parabolic,35,71
2,Parabolic,35,73
2,Parabolic,35,77
2,Parabolic,36,37
2,Parabolic,36,77
2,Parabolic,37,38
2,Parabolic,37,40
2,Parabolic,37,71
2,Parabolic,37,73
2,Parabolic,37,77
2,Parabolic,38,39
2,Parabolic,38,40
2,Parabolic,38,71
2,Parabolic,38,73
2,Parabolic,38,77
2,Parabolic,39,40
2,Parabolic,40,41
2,Parabolic,40,42
2,Parabolic,40,43
2,Parabolic,40,44
