File_Name,Sweep,Segment_Type,Burst_Type,Duration,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv
cell107basal.abf,8,Non-burst,Non-burst,1.4184000000000019,-52.163624,4.420479,-67.642,29.333,5.7907505,99.48186,-73.996994,-0.48505357,6986.5005,-93817.0,277382.03,17.92409,721.2479
cell107basal.abf,8,Non-burst,Non-burst,0.3451000000000022,-52.471897,5.368494,-65.453,28.645,4.223013,58.965305,-18.116074,5.1637025,7910.9897,-82558.01,279261.0,18.247469,650.98596
cell107basal.abf,8,Non-burst,Non-burst,0.9955999999999996,-52.39835,5.409209,-66.047,27.395,4.619311,63.448586,-52.17574,0.72315687,8068.2847,-88189.99,304283.0,15.963896,575.53033
cell107basal.abf,8,Non-burst,Non-burst,0.4129000000000005,-50.961266,4.999872,-65.703,28.301,4.1074214,65.27304,-21.04972,-5.5267315,7329.182,-91628.0,303968.0,19.03886,826.8345
cell107basal.abf,8,Non-burst,Non-burst,0.2228999999999992,-53.397247,5.847641,-65.86,27.957,4.1511564,54.649124,-11.906584,-340.78064,5411.344,-88501.0,12509.995,-9.172156,122.02322
cell107basal.abf,9,Non-burst,Non-burst,1.3304,-51.24797,3.9773064,-64.233,29.803,5.9436374,111.04084,-68.18419,61.561947,7052.126,-85998.99,348060.0,24.591507,1111.5963
cell107basal.abf,9,Burst,Parabolic,0.24130000000000007,-51.71031,6.4697213,-64.671,28.52,3.9595232,44.36201,-12.485585,-11.272275,9019.62,-91315.01,260813.98,14.140494,432.7974
cell107basal.abf,9,Burst,Parabolic,0.22529999999999983,-52.4726,6.635557,-64.484,27.269,4.662409,50.991005,-11.830042,0.6924101,9536.906,-88188.0,281140.0,14.885153,449.62442
cell107basal.abf,9,Burst,Parabolic,0.27529999999999966,-53.06143,5.463567,-65.328,27.176,4.2580686,54.803783,-14.609389,-82.84121,7855.5034,-90378.99,273321.0,14.03109,564.23895
cell107basal.abf,9,Burst,Parabolic,0.23460000000000036,-51.66438,6.0304227,-63.295,25.862,4.4793086,50.943493,-12.127951,-22.52768,8600.09,-86310.0,236421.0,13.3622675,401.9129
cell107basal.abf,9,Burst,Parabolic,0.24259999999999948,-52.65684,5.7703066,-64.077,22.954,4.7538214,54.619267,-12.782075,2.9637005,8494.298,-72552.2,283952.0,16.863428,562.5845
cell107basal.abf,9,Non-burst,Non-burst,0.3549,-51.59972,5.133037,-65.015,27.113,5.005142,73.53762,-18.320543,3.6996162,7847.1787,-79750.0,280201.0,17.166426,614.79803
cell107basal.abf,9,Non-burst,Non-burst,7.6752,-52.006718,3.767585,-66.454,29.396,5.661915,112.978226,-399.16986,-0.012116134,6080.9873,-95382.01,348690.03,22.742811,1205.7394
cell107basal.abf,9,Non-burst,Non-burst,6.8065,-52.050716,3.694787,-66.485,26.675,5.7589364,112.544624,-354.29102,-0.119444646,5973.96,-92879.0,317100.0,20.805315,1043.444
cell107basal.abf,9,Non-burst,Non-burst,3.4130000000000003,-51.927376,3.8586545,-65.078,26.081,5.626186,100.61661,-177.23546,0.48579144,6259.8438,-85373.0,303660.0,19.51527,886.58984
cell107basal.abf,9,Non-burst,Non-burst,0.700800000000001,-52.705013,4.6326213,-65.359,22.954,4.651246,69.11934,-36.939465,-107.7226,6153.0977,-80060.01,279576.0,13.501734,705.4025
cell107basal.abf,10,Non-burst,Non-burst,12.0688,-51.84963,3.2005818,-65.641,25.08,5.8063126,129.7823,-625.76154,6.050361,5409.4116,-91941.0,331800.0,21.987629,1187.7467
cell107basal.abf,10,Burst,Parabolic,0.8224999999999998,-51.24194,5.5322247,-62.889,24.33,3.778295,44.873856,-42.148544,-9.392031,8207.201,-86003.99,296460.0,17.531567,645.0147
cell107basal.abf,10,Burst,Parabolic,0.24749999999999872,-51.90744,5.5615897,-63.827,24.267,4.7892222,57.47108,-12.849337,-14.660443,8631.589,-96004.0,225789.0,13.159719,388.35587
