File_Name,Sweep,Segment_Type,Burst_Type,Duration,Num_Peaks,Mean_ISI,Mean,Std,Min,Max,Skewness,Kurtosis,Area,Mean_Deriv,Std_Deriv,Min_Deriv,Max_Deriv,Skewness_Deriv,Kurtosis_Deriv,UMAP1,UMAP2
cell89basal.abf,10,Burst,Parabolic,2.626999999999999,38,0.0663891891891892,-48.403397,7.9121256,-60.043,39.059,6.263101,54.82674,-127.159225,-2.9997334,20516.404,-168250.02,426870.0,6.5367527,147.99062,7.2552977,-3.964364
cell89basal.abf,11,Burst,Parabolic,3.9394,71,0.05331285714285714,-47.874104,8.647119,-60.449,40.122,5.8080535,46.112892,-188.60391,-0.5556525,22633.5,-169807.0,408730.03,5.78996,117.1265,7.3460317,-5.5891385
cell89basal.abf,11,Burst,Parabolic,3.0218999999999987,48,0.06020638297872341,-48.248165,8.157554,-60.043,41.279,6.1164346,51.755016,-145.80983,-1.5003681,21502.965,-163240.0,403100.0,6.2784157,135.2057,7.2883334,-4.370913
cell89basal.abf,14,Burst,Parabolic,1.7569,12,0.14362727272727274,-50.219696,6.0350776,-60.762,45.251,8.334504,107.45093,-88.24027,-1.3347337,16984.27,-202643.02,449700.0,9.2061405,310.69943,7.422708,-2.2968445
cell89basal.abf,16,Burst,Square Wave,0.12880000000000003,9,0.0087625,-41.074272,14.455506,-58.448,39.184,3.4526281,12.776906,-5.298159,-36.172215,42317.777,-153550.0,344932.0,2.6902754,24.570477,3.096025,-3.7380865
cell89basal.abf,17,Burst,Parabolic,0.09179999999999922,5,0.013149999999999998,-42.35193,14.077836,-59.042,39.215,3.6279316,15.036737,-3.8906527,-256.44492,40775.832,-146985.0,379017.03,3.107251,31.739784,3.3975365,-3.7479672
cell89basal.abf,17,Burst,Square Wave,0.12570000000000014,7,0.012516666666666667,-42.29939,14.123284,-58.417,39.622,3.7280908,15.269749,-5.3249536,-43.2857,39797.953,-155740.0,352750.03,3.2036273,31.904083,3.3966277,-3.7107353
cell89basal.abf,17,Burst,Parabolic,0.1142000000000003,7,0.012366666666666665,-41.943676,14.612144,-59.23,39.497,3.5232327,13.680525,-4.7978272,-49.842327,41803.81,-155424.0,368701.03,2.9746723,27.612677,3.3325708,-3.803868
cell89basal.abf,17,Burst,Parabolic,0.16549999999999976,7,0.018533333333333336,-43.78317,12.546096,-59.23,39.184,4.3219876,21.429695,-7.2541876,-27.021149,36046.95,-149170.0,384337.0,3.8797438,45.370773,6.0847974,-2.1268091
cell89basal.abf,17,Burst,Parabolic,0.16720000000000113,7,0.01745,-43.95068,12.6344,-58.636,39.372,4.3513346,21.42067,-7.356655,-27.494019,35568.047,-147289.0,395909.0,3.9013586,45.70646,6.192951,-2.0520236
cell89basal.abf,17,Burst,Parabolic,0.1404999999999994,4,0.0226,-45.310707,11.607757,-59.292,38.121,4.870011,27.904114,-6.3743954,-14.469751,31562.914,-146040.02,369953.0,4.3865075,60.130867,6.261673,-1.9566005
cell89basal.abf,17,Burst,Parabolic,0.2149000000000001,4,0.03273333333333333,-46.869778,9.4344635,-59.042,38.496,5.941749,43.182423,-10.075827,-31.447859,25523.3,-147917.0,387460.03,5.578901,97.547066,6.6096253,-1.80268
cell89basal.abf,18,Burst,Parabolic,1.6095000000000002,6,0.2307,-52.34855,5.0632415,-59.949,40.498,10.172062,156.12984,-84.2642,0.38894066,12485.125,-154480.02,444690.03,14.934797,604.1326,9.237591,-0.9296945
cell89basal.abf,18,Burst,Parabolic,0.7683999999999997,2,0.2684,-52.52531,4.7866793,-59.949,41.217,10.345638,167.43626,-40.363388,-30.731485,11793.845,-154489.0,446260.0,16.584127,761.5231,9.504638,-0.9401843
cell89basal.abf,19,Non-burst,Non-burst,1.2925,4,0.26143333333333335,-52.43875,4.766503,-59.543,42.343,9.491025,156.21486,-67.7818,73.699036,11507.462,-152610.02,446260.0,17.770542,733.915,9.546205,-0.7798756
cell89basal.abf,21,Non-burst,Non-burst,0.9987999999999992,2,0.2648,-51.954376,4.5049195,-60.199,42.061,9.777756,170.74426,-51.896072,-1.6901972,10918.713,-160430.0,454700.03,18.548365,903.55994,9.588224,-0.79705065
cell89basal.abf,23,Burst,Parabolic,1.6021,18,0.08481176470588235,-49.311344,7.216122,-60.168,44.344,7.392304,76.29005,-79.01085,-2.8300083,20108.074,-175440.02,453758.03,7.856001,201.38731,7.244532,-2.5547028
cell89basal.abf,24,Burst,Parabolic,2.0411,13,0.13751666666666668,-50.92134,6.2790523,-59.98,43.187,7.2301254,88.29242,-103.94478,-1.7618165,15528.338,-169494.0,440630.0,10.532027,346.03394,7.5207753,-2.2582912
cell89basal.abf,24,Burst,Parabolic,1.6338,17,0.0935375,-50.35776,7.3321714,-59.887,41.342,6.899452,69.807396,-82.277664,-11.10239,19027.133,-165120.02,448760.0,8.258765,216.0388,7.2094584,-2.488506
cell89basal.abf,24,Burst,Parabolic,1.560599999999999,16,0.09313333333333333,-49.681602,7.105329,-60.199,44.938,7.721151,81.452675,-77.54233,-3.145565,19040.5,-172630.02,425925.0,8.557028,223.08853,7.331396,-2.4636486
cell89basal.abf,25,Burst,Other,5.2217,84,0.059303614457831326,-48.860016,8.370676,-60.481,43.343,6.397843,55.160984,-255.14142,-0.6227773,22517.174,-182322.02,445950.03,6.5754175,139.88908,7.452981,-5.760909
cell89basal.abf,26,Burst,Parabolic,0.1598999999999986,4,0.02376666666666667,-46.14897,10.311568,-59.167,40.904,5.406239,35.792446,-7.3830357,-34.443054,31140.139,-162300.0,432810.0,4.868136,75.31137,6.664539,-1.7536199
cell89basal.abf,26,Burst,Parabolic,0.06270000000000309,2,0.0195,-44.940456,12.45745,-59.449,38.59,4.3725753,22.880754,-2.825976,-45.885265,38312.523,-155740.02,352434.0,3.5267289,40.832615,6.064317,-2.1013973
cell91basal.abf,0,Burst,Other,0.046200000000000005,2,0.015,-48.49728,14.009297,-58.448,38.309,4.05154,17.715734,-2.2488341,-182.09984,40479.8,-243613.02,322729.0,2.104674,29.158958,3.189218,-3.71658
cell91basal.abf,1,Burst,Square Wave,1.94,42,0.043802439024390245,-50.266685,9.648413,-61.419,35.213,4.9693255,31.81131,-97.52562,-3.0309181,19777.217,-251113.02,369637.0,5.2922015,89.55781,6.9071255,-4.1884804
cell91basal.abf,1,Burst,Parabolic,1.4652999999999996,18,0.08082941176470587,-55.45257,8.535393,-67.798,38.027,4.579826,37.265965,-81.25792,-7.2993574,17323.074,-241739.02,372458.0,6.126013,162.96758,6.134605,-4.034402
cell91basal.abf,1,Burst,Square Wave,0.41159999999999997,7,0.06193333333333333,-54.40149,9.673848,-63.921,36.682,4.778676,33.597637,-22.400528,-11.243896,21709.125,-235800.0,400290.0,4.864274,117.4623,6.0033946,-4.011016
cell91basal.abf,1,Burst,Square Wave,0.6715999999999998,9,0.0733875,-52.32146,7.9614067,-59.073,40.717,6.328913,53.893154,-35.1425,-19.839176,18404.762,-247369.02,363379.97,5.324313,129.97926,6.025665,-4.0419617
cell91basal.abf,2,Burst,Parabolic,0.6039000000000003,11,0.054079999999999996,-53.173767,9.961565,-65.39,39.122,4.338549,29.711597,-32.120525,-11.341302,21559.781,-239550.03,358695.0,4.887925,105.92941,6.0687513,-4.0481114
cell91basal.abf,2,Burst,Square Wave,1.6774,13,0.11620833333333334,-54.83602,6.7723036,-63.358,36.026,6.586447,69.17008,-91.99093,-1.1744404,14295.232,-188570.02,377142.0,8.219799,249.32416,7.1817484,-2.2016644
cell91basal.abf,2,Burst,Square Wave,0.8394000000000004,12,0.060000000000000005,-53.026264,8.39751,-61.075,36.87,5.7712607,46.541058,-44.51905,-4.544891,18880.543,-227978.0,400290.0,6.048399,141.98418,6.0869727,-3.923546
cell91basal.abf,2,Burst,Square Wave,2.723499999999998,37,0.07375000000000001,-53.19181,8.498755,-63.295,37.652,5.194416,41.226448,-144.87094,-5.213357,17570.2,-250180.02,387150.0,6.7759056,164.03299,6.8808713,-4.1599436
