UMAP1,UMAP2,Burst_Type
0.6399275,8.050579,Square Wave
2.1608713,9.070583,Square Wave
0.4352443,7.890308,Square Wave
2.2490044,8.885695,Square Wave
2.8241708,9.176858,Square Wave
0.44969448,7.8926554,Square Wave
0.3402887,7.8039427,Square Wave
0.5668582,7.948367,Square Wave
0.8570306,7.9637733,Square Wave
2.1597323,9.1242695,Square Wave
0.06343736,7.738656,Square Wave
0.43728122,7.853754,Square Wave
2.2390285,9.034467,Square Wave
0.3559972,7.505774,Square Wave
0.21602772,7.9035606,Square Wave
-0.2198076,8.060214,Square Wave
2.0737026,8.974627,Square Wave
12.32401,4.8338594,Non-burst
12.376433,4.8095627,Non-burst
11.680737,4.9215384,Non-burst
12.379985,4.7813015,Non-burst
11.756143,4.889811,Non-burst
12.368176,4.83888,Non-burst
12.724935,4.6071177,Non-burst
12.306699,4.815729,Non-burst
12.668626,4.5082326,Non-burst
12.419975,4.8185167,Non-burst
12.570797,4.5678062,Non-burst
12.552012,4.7174287,Non-burst
12.802801,4.1016307,Non-burst
12.589896,4.6677704,Non-burst
12.823837,4.441518,Non-burst
12.925519,4.579194,Non-burst
12.930373,4.5754247,Non-burst
12.815348,4.7126217,Non-burst
13.086104,4.710257,Non-burst
13.536264,3.183647,Non-burst
13.486332,4.492975,Non-burst
13.534254,3.6843462,Non-burst
13.316054,4.5444603,Non-burst
13.578423,3.4166486,Non-burst
13.568681,3.3200865,Non-burst
13.44392,3.712492,Non-burst
13.465375,4.1569552,Non-burst
13.575068,3.26769,Non-burst
13.555931,3.3947916,Non-burst
13.557377,3.5152416,Non-burst
13.366171,4.618132,Non-burst
13.560806,3.4315271,Non-burst
13.523487,3.1315866,Non-burst
13.467282,4.5561004,Non-burst
13.443357,4.585616,Non-burst
13.355971,4.669723,Non-burst
8.093124,4.0603533,Non-burst
13.379502,4.668005,Non-burst
-0.3373177,8.151898,Square Wave
0.12045676,7.704029,Square Wave
2.5725093,8.096004,Square Wave
2.1427615,9.02798,Square Wave
-0.35266647,8.162224,Square Wave
0.28025547,7.909517,Square Wave
2.3920543,8.934908,Square Wave
2.837301,9.176503,Square Wave
1.988207,9.017844,Square Wave
-0.31226382,8.116458,Square Wave
0.6108232,8.067327,Square Wave
4.1752467,12.381198,Square Wave
0.20385641,7.848878,Square Wave
0.22697492,7.9090242,Square Wave
0.53835803,7.987536,Square Wave
-0.39392856,8.201954,Square Wave
0.21734886,7.801742,Square Wave
2.497137,8.104768,Square Wave
0.5480257,8.075608,Square Wave
0.31296,7.7753706,Square Wave
-0.28892878,8.09859,Square Wave
-0.15388957,8.035626,Square Wave
0.019442081,8.071756,Square Wave
0.59832275,7.963237,Square Wave
0.2956473,7.5903893,Square Wave
0.3713665,7.5113063,Square Wave
2.1669872,9.1165,Square Wave
0.98093325,7.9818234,Square Wave
0.5248557,7.9744925,Square Wave
0.5139232,7.8748007,Square Wave
13.455337,4.5102773,Non-burst
13.512423,4.5794835,Non-burst
13.529212,3.1708295,Non-burst
13.49326,3.1314685,Non-burst
13.422049,4.631862,Non-burst
13.515815,3.4114575,Non-burst
13.547507,3.1908076,Non-burst
13.583753,3.2394478,Non-burst
13.614806,3.6019099,Non-burst
13.500812,4.2913575,Non-burst
13.557123,3.2113316,Non-burst
13.471123,3.7953134,Non-burst
13.343438,4.614206,Non-burst
13.307034,3.827635,Non-burst
13.464517,3.0946126,Non-burst
13.207994,4.227608,Non-burst
13.56255,3.538378,Non-burst
13.380562,3.560038,Non-burst
13.624101,3.4390838,Non-burst
13.576248,3.5823736,Non-burst
13.537185,3.5781174,Non-burst
13.527321,3.631092,Non-burst
13.419222,3.5323496,Non-burst
12.793792,4.261728,Non-burst
13.354476,3.7745342,Non-burst
13.154818,4.1438165,Non-burst
12.725659,4.3849516,Non-burst
13.299977,3.6378334,Non-burst
12.7496805,3.9170005,Non-burst
7.844095,4.571563,Non-burst
8.904629,0.38393658,Non-burst
2.2937493,9.023437,Square Wave
2.1063766,8.982509,Square Wave
0.26080656,7.5822096,Square Wave
0.36089224,7.504192,Square Wave
1.327473,8.401588,Square Wave
0.19811966,7.4810295,Square Wave
0.48258135,7.6193557,Square Wave
0.47574362,7.6651745,Square Wave
2.236834,9.053058,Square Wave
2.3292038,8.960045,Square Wave
-0.36127383,8.188131,Square Wave
1.20105,7.9565625,Square Wave
2.088589,9.0490055,Square Wave
0.6788504,7.8468537,Square Wave
2.2848427,8.865467,Parabolic
2.9915571,9.21905,Square Wave
0.72186285,7.8157563,Square Wave
0.6954462,7.7120094,Parabolic
0.7604122,7.79353,Parabolic
3.0582247,9.144912,Parabolic
3.2646148,9.131383,Parabolic
4.452627,8.803717,Parabolic
7.269261,13.424969,Parabolic
6.2205043,12.46391,Parabolic
12.543984,4.434131,Non-burst
12.39437,4.0039926,Non-burst
12.735155,4.5497403,Non-burst
12.677207,4.574645,Non-burst
12.79855,4.244558,Non-burst
12.467926,4.0634108,Non-burst
12.398555,4.0162735,Non-burst
12.613136,3.9454255,Non-burst
12.548165,3.924315,Non-burst
12.469971,3.9316783,Non-burst
11.695984,4.9293156,Non-burst
12.317918,4.602992,Non-burst
12.393411,3.9256098,Non-burst
11.502957,4.9305363,Non-burst
11.744471,4.6846685,Non-burst
12.341701,3.9929495,Non-burst
12.097009,4.132408,Non-burst
11.05042,4.9115086,Non-burst
11.355753,4.824681,Non-burst
7.490089,6.8022065,Non-burst
7.507036,6.8229246,Non-burst
7.2368207,7.212478,Non-burst
7.2013264,7.2633896,Non-burst
5.6952586,7.853905,Non-burst
6.121196,9.3413925,Non-burst
6.905226,13.002206,Parabolic
7.0315833,13.046761,Parabolic
7.4563937,13.461693,Parabolic
7.425106,13.455879,Parabolic
5.3905406,7.9107857,Parabolic
6.340389,13.158899,Parabolic
7.6424613,13.417544,Parabolic
7.2207766,7.349396,Non-burst
6.4917126,7.74974,Non-burst
6.9920526,7.44517,Non-burst
6.4785957,8.281752,Non-burst
7.257498,7.380462,Non-burst
7.1461744,7.323818,Non-burst
7.3940125,5.6754756,Non-burst
5.8666177,8.008262,Non-burst
6.3118544,12.713446,Parabolic
6.278156,8.754205,Parabolic
6.1251597,8.608939,Parabolic
6.440994,12.589262,Parabolic
7.724758,13.358353,Parabolic
6.0280876,9.325946,Parabolic
7.7519608,13.314537,Non-burst
6.705474,8.708832,Non-burst
6.275483,8.335286,Non-burst
6.396585,9.479409,Non-burst
7.1611586,12.792954,Non-burst
7.4476104,5.7137084,Non-burst
7.466419,7.539103,Non-burst
6.9527493,12.978708,Parabolic
5.3853025,7.9590926,Parabolic
5.779207,7.940193,Parabolic
7.531094,13.433169,Parabolic
7.0057716,13.106605,Parabolic
6.094145,9.384784,Parabolic
6.0971866,9.376724,Parabolic
6.260691,12.546128,Non-burst
6.8223205,7.5201497,Non-burst
6.3015885,8.366951,Non-burst
7.27373,13.134546,Non-burst
7.007208,7.4022346,Non-burst
6.5703707,7.585789,Non-burst
7.2604613,12.942089,Non-burst
7.164843,12.795694,Non-burst
6.127808,8.643892,Parabolic
6.2334065,12.456156,Parabolic
5.480277,8.40005,Parabolic
6.2009964,12.634573,Parabolic
6.3411026,11.97581,Parabolic
6.7027407,8.653946,Parabolic
5.4324684,7.930805,Parabolic
7.032549,7.338871,Non-burst
7.0817547,7.4404297,Non-burst
7.035139,7.23093,Non-burst
5.6191673,7.8912344,Non-burst
7.0150695,7.4233003,Non-burst
5.344872,7.8725567,Non-burst
7.8268013,13.354503,Non-burst
6.508542,7.5590305,Non-burst
5.6452246,8.844536,Parabolic
5.388389,7.9598637,Parabolic
6.7425222,8.156896,Parabolic
7.2840466,7.396652,Non-burst
7.789915,13.443826,Non-burst
7.3552012,13.071113,Non-burst
6.1941996,9.38573,Non-burst
5.0160775,9.919115,Parabolic
6.4113107,12.298289,Parabolic
5.0475993,8.337719,Parabolic
5.999777,8.392372,Parabolic
6.0968447,8.650687,Parabolic
6.487806,7.768801,Non-burst
6.0151515,9.257716,Non-burst
7.159733,7.3973,Non-burst
7.157267,12.547678,Non-burst
7.5095034,5.626473,Non-burst
6.890473,7.812419,Non-burst
7.3786583,13.334214,Parabolic
6.2047377,13.263856,Parabolic
7.4799905,13.552592,Parabolic
7.3113303,13.440438,Parabolic
5.191256,8.733842,Parabolic
6.623926,7.8250365,Parabolic
4.22729,8.963985,Parabolic
6.60704,7.4172125,Non-burst
7.580579,6.728572,Non-burst
10.601254,4.8601294,Non-burst
6.5874763,9.006321,Non-burst
7.509288,6.7762184,Non-burst
9.5664015,5.1542554,Non-burst
7.468659,5.5903788,Non-burst
9.613172,5.0559287,Non-burst
6.182608,13.67383,Other
7.71908,4.720657,Non-burst
8.907052,0.38353473,Non-burst
