spike,spike_index,spike_time,inst_freq,isi_s,width,rise_half_ms,decay_half_ms,spike_peak,spike_amplitude
101,83998,8.3998,11.098779134295228,0.0901,0.647403872263385,0.18856826726114378,0.4588356050022412,43.09299850463867,105.38699722290039
102,84824,8.4824,12.106537530266342,0.0826,0.6521981303361827,0.24675702465319774,0.4054411056829849,42.06100082397461,103.47999954223633
103,85446,8.5446,16.077170418006432,0.0622,0.6587583895045099,0.25023155929375207,0.4085268302107579,42.06100082397461,103.66699981689453
104,86223,8.6223,12.87001287001287,0.0777,0.6664980339395697,0.20810284538019913,0.45839518855937056,42.654998779296875,104.79299926757812
105,86894,8.6894,14.903129657228016,0.0671,0.6542312853111071,0.24453349060058827,0.4096977947105188,42.029998779296875,103.54299926757812
106,87523,8.7523,15.89825119236884,0.0629,0.6691156674700324,0.17028370799525874,0.4988319594747736,42.029998779296875,103.91799926757812
107,88138,8.8138,16.260162601626018,0.0615,0.6541105168958893,0.18053719266608823,0.4735733242298011,42.624000549316406,104.70000076293945
108,89118,8.9118,10.204081632653061,0.098,0.648600636034098,0.18297246768197512,0.4656281683521229,42.874000549316406,105.07500076293945
109,90034,9.0034,10.91703056768559,0.0916,0.6541928664126317,0.23194401615473909,0.4222488502578926,43.3120002746582,105.76300048828125
110,91136,9.1136,9.074410163339383,0.1102,0.6455728805507533,0.2353939604567131,0.4101789200940402,42.84299850463867,104.85599899291992
111,91999,9.1999,11.587485515643106,0.0863,0.6536054554220755,0.1748486621378106,0.47875679328426485,43.34299850463867,105.76299667358398
112,92832,9.2832,12.004801920768308,0.0833,0.6444969827571185,0.18068028306006453,0.46381669969705397,43.625,106.01300048828125
113,93787,9.3787,10.471204188481675,0.0955,0.6466627149420674,0.16881957591394894,0.4778431390281185,43.15599822998047,105.29399871826172
114,94459,9.4459,14.880952380952381,0.0672,0.6514142139902106,0.2241390419381787,0.42727517205203186,42.749000549316406,104.38700103759766
115,95951,9.5951,6.702412868632708,0.1492,0.6298667717084754,0.18838812667381716,0.4414786450346583,44.1879997253418,106.63899993896484
116,96851,9.6851,11.11111111111111,0.09,0.6519069770423812,0.1567910130441305,0.49511596399825064,42.84299850463867,105.48099899291992
117,98460,9.846,6.215040397762586,0.1609,0.6372188392080715,0.16741908777330536,0.4697997514347662,44.3129997253418,106.95100021362305
118,100068,10.0068,6.218905472636816,0.1608,0.6306465437068255,0.22040420495613944,0.41024233875068605,43.84400177001953,106.01300048828125
119,101973,10.1973,5.2493438320209975,0.1905,0.6246016326913377,0.20462562462780626,0.41997600806353147,43.78099822998047,106.16899871826172
120,103482,10.3482,6.626905235255135,0.1509,0.6323742579465034,0.16585542261163938,0.466518835334864,44.0629997253418,106.32600021362305
121,104632,10.4632,8.695652173913043,0.115,0.6277335817096172,0.20414638611400732,0.42358719559561,43.5,105.54399871826172
